id,name,star,force,intellect,leadership,speed,style,trait,troop,suit,skill,skillDesc
cao1,曹操,5,92,89,96,78,鹰扬,多疑,骑,S,奸雄,每回合概率提升全军攻击并降低敌方防御
liu1,刘备,5,75,82,90,70,持重,仁德,步,S,仁德,提升全军士气与伤兵恢复速度
sun1,孙权,4,78,84,88,76,奇变,沉稳,弓,A,制衡,概率使敌方主动战法失效并反弹
guan1,关羽,5,97,75,95,80,鹰扬,刚烈,步,S,威震华夏,对兵力最高敌军造成巨额兵刃伤害并震慑
zhang1,张飞,5,98,52,92,85,鹰扬,短虑,步,A,咆哮,高概率混乱敌军前排，自身易中控
zhao1,赵云,5,96,76,93,95,鹰扬,沉稳,骑,S,龙胆,突击多次且免疫首次控制
zhu1,诸葛亮,5,55,100,85,72,奇变,多疑,步,S,空城,残血时大幅提升防御并使敌方命中下降（空城计）
zhou1,周瑜,5,72,96,90,83,奇变,傲岸,弓,S,火攻,火系伤害翻倍并点燃地形
sima1,司马懿,5,68,97,91,74,持重,隐忍,步,S,鹰视,持续偷取敌军属性并削弱
lv1,吕布,5,100,35,85,98,鹰扬,短虑,骑,S,无双,极高兵刃爆发，但自身易被混乱
huang1,黄忠,4,94,62,88,79,持重,老当益壮,弓,S,百步,远程暴击并破防
lu1,陆逊,5,70,95,89,80,奇变,沉稳,弓,S,火烧连营,火攻蔓延且施加灼烧
